first_name,last_name,phone_number,email
Kushal ram,Tayi,145-898-8231,kushelram18@gmail.com
Keerthi,Reddy,292-561-8807,keerthi05@gmail.com
Harsha,Injarapu,385-237-8903,harsha45@gmail.com
David,Miller,540-500-8222,david.miller@yahoo.com
Michael,Clark,362-427-9901,michael.clark@gmail.com
Sachin,Tendulkar,601-567-6231,SachinTendulkar10@yahoo.com
Mahendra singh,Dhoni,721-954-9010,Msdhoni07@gmail.com
Rahul,Dravid,119-420-1145,RahulDravid@yahoo.com
James,Bond,923-313-2190,jamesbond007@gmail.com
Mahesh,Babu,523-611-3330,mahesh25@yahoo.com
Christopher,Nolan,385-237-8903,christopher.nolan@gmail.com
Leo,Lee,650-123-987,leo.lee@yahoo.com
Maggie,Chen,555-987-1010,maggie.chen@gmail.com
Nick,Williams,171-887-347,nick.williams@yahoo.com
Olivia,Johnson,881-908-7654,olivia.johnson@gmail.com
Quentin,Nguyen,229-001-0017,quentin.nguyen@gmail.com
Rachel,Ramirez,385-238-8999,rachel.ramirez@yahoo.com
Samantha,Wang,223-123-4562,samantha.wang@gmail.com
Tom,Smith,199-321-4545,tom.smith@yahoo.com
Bahubali,prabhas,145-899-8232,Bahubali95@gmail.com
John,Degray,292-562-8808,johndegray@yahoo.com
Rama rao,N,385-238-8904,NTR@yahoo.com
Ramcharan,K,540-501-8223,Ram.charan@gmail.com
Virat,Kohli,362-428-9902,viratkohli@yahoo.com
Rohit,sharma,601-568-6232,Rohit45@gmail.com
Jasprit,Bumrah,721-955-9011,jasprit55@yahoo.com
ken,Garff,119-423-1146,kengarff@gmail.com
Chris,Lewis,923-314-2191,chrislewis229@yahoo.com
Michael,Jackson,523-612-3331,michaelJackson@gmail.com
